Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1455907163.181540,42.360064,-71.094356,10.375454,65.000000,-1.000000,-1.000000,0.440000
1455907296.321488,42.360192,-71.094821,10.375454,423.652003,-1.000000,-1.000000,0.440000
1455907296.652213,42.360365,-71.095259,10.375454,423.730024,-1.000000,-1.000000,0.440000
1455907163.181540,42.360064,-71.094356,10.375454,65.000000,-1.000000,-1.000000,0.440000
1455907300.959315,42.360365,-71.095259,10.375454,423.730024,-1.000000,-1.000000,0.440000
1455907301.408976,42.360348,-71.094671,56.652370,50.000000,-1.000000,1.100000,0.440000
1455907301.999976,42.360345,-71.094664,56.634792,50.000000,-1.000000,1.100000,0.440000
1455907302.108734,42.360345,-71.094664,56.634792,50.000000,-1.000000,1.100000,0.440000
1455907302.999991,42.360395,-71.094569,6.426632,10.000000,90.351562,1.100000,0.440000
1455907304.000023,42.360356,-71.094625,9.733639,5.000000,164.179688,1.100000,0.440000
1455907305.000028,42.360333,-71.094603,8.952114,10.000000,12.304688,0.800000,0.440000
1455907305.999991,42.360307,-71.094575,10.744930,5.000000,36.562500,0.920000,0.440000
1455907306.999957,42.360308,-71.094551,9.617153,5.000000,46.054688,0.920000,0.440000
1455907315.005278,42.360358,-71.094508,9.617153,87.938694,-1.000000,-1.000000,0.440000
1455907316.539641,42.360375,-71.094524,9.617153,92.683225,-1.000000,-1.000000,0.440000
1455907316.557840,42.360384,-71.094546,9.617153,92.683948,-1.000000,-1.000000,0.440000
1455907413.820253,42.363021,-71.101417,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907413.838654,42.363601,-71.103176,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907416.336803,42.363901,-71.104077,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907416.357594,42.364041,-71.104506,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907429.555548,42.354082,-71.097426,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907429.593121,42.349076,-71.093795,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907429.626367,42.346573,-71.091980,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907434.374705,42.345330,-71.091100,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907434.394042,42.344700,-71.090632,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907460.121449,42.344416,-71.090516,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907460.140592,42.344243,-71.090340,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907465.010000,42.344161,-71.090270,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907465.031069,42.344116,-71.090217,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907475.276895,42.344102,-71.090223,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907480.388607,42.344090,-71.090208,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907480.408899,42.344080,-71.090186,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907541.818917,42.344087,-71.090224,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907541.838605,42.344079,-71.090194,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907546.958885,42.344076,-71.090184,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907546.980637,42.344073,-71.090174,9.617153,2000.000000,-1.000000,-1.000000,0.440000
1455907314.999957,42.360308,-71.094551,9.617153,5.000000,46.054688,0.920000,0.440000
1455907588.938423,42.344073,-71.090174,9.617153,2000.000000,-1.000000,-1.000000,0.440000
