Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1455906489.007719,42.359957,-71.094953,11.000000,65.000000,-1.000000,-1.000000,0.490000
1455906497.827342,42.360049,-71.095094,11.000000,543.108464,-1.000000,-1.000000,0.490000
1455906497.842586,42.360137,-71.095230,11.000000,543.108711,-1.000000,-1.000000,0.490000
1455906497.853689,42.360223,-71.095362,11.000000,543.108843,-1.000000,-1.000000,0.490000
1455906497.903825,42.360306,-71.095490,11.000000,543.111518,-1.000000,-1.000000,0.490000
1455906498.063917,42.360107,-71.094828,11.000000,65.000000,-1.000000,-1.000000,0.490000
1455906499.388452,42.360287,-71.094806,26.198944,30.000000,308.320312,0.660000,0.490000
1455906499.997852,42.360290,-71.094808,26.102020,30.000000,308.320312,0.660000,0.490000
1455906501.000071,42.360342,-71.094792,5.610104,30.000000,-1.000000,0.000000,0.480000
1455906502.000085,42.360355,-71.094724,5.928646,30.000000,45.000000,0.430000,0.480000
1455906503.000102,42.360318,-71.094718,6.135525,10.000000,55.546875,0.430000,0.480000
1455906504.000102,42.360303,-71.094702,6.396114,10.000000,-1.000000,0.230000,0.480000
1455906505.000001,42.360303,-71.094702,6.332302,10.000000,-1.000000,0.000000,0.480000
1455906506.000087,42.360327,-71.094700,7.034878,10.000000,64.335938,0.230000,0.480000
1455906506.999969,42.360363,-71.094698,7.510067,10.000000,-1.000000,0.300000,0.480000
1455906508.000018,42.360393,-71.094682,8.010891,10.000000,31.640625,0.660000,0.480000
1455906508.999966,42.360359,-71.094650,7.387325,10.000000,55.546875,0.940000,0.480000
1455906509.999995,42.360335,-71.094622,7.016781,10.000000,63.281250,1.150000,0.480000
1455906510.999996,42.360335,-71.094622,6.696102,10.000000,56.953125,0.000000,0.480000
1455906511.999996,42.360297,-71.094597,6.781368,10.000000,51.679688,0.230000,0.480000
1455906512.999995,42.360290,-71.094583,6.695766,10.000000,40.429688,1.330000,0.480000
1455906513.999995,42.360287,-71.094565,6.643764,25.000000,54.492188,1.330000,0.480000
1455906514.999995,42.360285,-71.094547,6.665005,25.000000,58.007812,0.940000,0.480000
1455906515.999995,42.360288,-71.094527,6.592220,25.000000,48.867188,0.940000,0.480000
1455906516.999995,42.360292,-71.094508,6.530422,25.000000,52.382812,1.150000,0.480000
1455906517.999994,42.360296,-71.094486,6.357449,25.000000,56.250000,1.080000,0.480000
1455906518.999996,42.360298,-71.094468,6.326778,25.000000,67.500000,1.080000,0.480000
1455906519.999995,42.360301,-71.094450,6.117001,25.000000,73.828125,0.780000,0.480000
1455906520.999997,42.360302,-71.094434,6.075222,25.000000,71.015625,0.780000,0.480000
1455906521.999995,42.360303,-71.094417,6.061916,25.000000,75.234375,0.950000,0.480000
1455906522.999995,42.360308,-71.094397,6.092831,25.000000,62.226562,1.380000,0.480000
1455906523.999995,42.360314,-71.094377,5.995876,25.000000,60.820312,1.160000,0.480000
1455906524.999995,42.360317,-71.094362,5.944790,25.000000,68.203125,1.160000,0.480000
1455906525.999995,42.360321,-71.094347,5.762997,25.000000,76.992188,0.620000,0.480000
1455906526.999996,42.360322,-71.094333,5.784115,25.000000,94.218750,0.630000,0.480000
1455906527.999996,42.360324,-71.094314,5.819759,25.000000,82.617188,0.840000,0.480000
1455906528.999995,42.360330,-71.094294,5.738491,25.000000,73.476562,0.840000,0.480000
1455906529.999995,42.360343,-71.094276,5.797939,25.000000,47.109375,1.050000,0.480000
1455906530.999995,42.360355,-71.094260,5.786831,25.000000,47.460938,1.050000,0.480000
1455906531.999996,42.360365,-71.094244,5.819210,25.000000,53.789062,1.200000,0.480000
1455906532.999995,42.360374,-71.094231,5.911709,25.000000,70.312500,1.200000,0.480000
1455906533.999995,42.360379,-71.094218,6.010586,25.000000,74.179688,1.060000,0.480000
