Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1455906822.000087,42.362497,-71.089811,7.624355,10.000000,63.281250,0.000000,0.470000
1455906837.930083,42.362498,-71.089855,7.624355,205.390534,-1.000000,-1.000000,0.470000
1455906837.946020,42.362500,-71.089900,7.624355,205.390539,-1.000000,-1.000000,0.470000
1455906838.145375,42.362123,-71.090742,8.561550,71.327543,-1.000000,-1.000000,0.470000
1455906847.150704,42.362125,-71.090758,8.561550,131.238232,-1.000000,-1.000000,0.470000
1455906849.276348,42.362126,-71.090780,8.561550,138.278533,-1.000000,-1.000000,0.470000
1455906849.326142,42.362128,-71.090798,8.561550,138.282788,-1.000000,-1.000000,0.470000
1455906849.356290,42.362129,-71.090816,8.561550,138.284352,-1.000000,-1.000000,0.470000
1455906849.382150,42.362131,-71.090835,8.561550,138.285506,-1.000000,-1.000000,0.470000
1455906847.145375,42.362123,-71.090742,8.561550,71.327543,-1.000000,-1.000000,0.470000
1455906958.127452,42.362692,-71.097613,8.561550,3000.000000,-1.000000,-1.000000,0.460000
1455906968.374674,42.362768,-71.098529,8.561550,3000.000000,-1.000000,-1.000000,0.460000
1455906968.396602,42.362803,-71.098955,8.561550,3000.000000,-1.000000,-1.000000,0.460000
1455906977.294215,42.362823,-71.099192,8.561550,3000.000000,-1.000000,-1.000000,0.460000
1455906977.348864,42.362831,-71.099286,8.561550,3000.000000,-1.000000,-1.000000,0.460000
1455906977.370713,42.362835,-71.099334,8.561550,3000.000000,-1.000000,-1.000000,0.460000
1455906977.391048,42.362837,-71.099357,8.561550,3000.000000,-1.000000,-1.000000,0.460000
1455907063.771815,42.362843,-71.099438,8.561550,3000.000000,-1.000000,-1.000000,0.460000
1455907064.345844,42.360978,-71.093339,10.730562,65.000000,-1.000000,-1.000000,0.460000
1455907067.422410,42.360979,-71.093337,10.725114,65.000000,-1.000000,-1.000000,0.460000
1455907076.427730,42.360986,-71.093338,10.725114,109.574013,-1.000000,-1.000000,0.460000
1455907077.123666,42.360989,-71.093346,10.725114,109.853667,-1.000000,-1.000000,0.460000
1455907077.168929,42.360991,-71.093354,10.725114,109.854845,-1.000000,-1.000000,0.460000
1455907077.207276,42.360994,-71.093362,10.725114,109.855690,-1.000000,-1.000000,0.460000
1455907077.226868,42.360996,-71.093370,10.725114,109.855910,-1.000000,-1.000000,0.460000
1455907101.493673,42.361025,-71.093420,10.725114,267.738434,-1.000000,-1.000000,0.460000
1455907116.818696,42.361055,-71.093501,10.725114,303.209787,-1.000000,-1.000000,0.460000
1455907116.838760,42.361073,-71.093560,10.725114,303.209845,-1.000000,-1.000000,0.460000
1455907129.569708,42.361105,-71.093650,10.725114,323.877250,-1.000000,-1.000000,0.460000
1455907129.631368,42.361125,-71.093717,10.725114,323.877732,-1.000000,-1.000000,0.460000
1455907129.651960,42.361144,-71.093782,10.725114,323.877786,-1.000000,-1.000000,0.460000
1455907129.671167,42.361164,-71.093846,10.725114,323.877832,-1.000000,-1.000000,0.460000
1455907132.290052,42.361186,-71.093916,10.725114,324.731256,-1.000000,-1.000000,0.460000
1455907137.424522,42.361210,-71.093992,10.725114,327.909735,-1.000000,-1.000000,0.460000
1455907137.445455,42.361229,-71.094056,10.725114,327.909788,-1.000000,-1.000000,0.460000
1455907076.422410,42.360979,-71.093337,10.725114,65.000000,-1.000000,-1.000000,0.460000
1455907142.536346,42.361253,-71.094131,10.725114,330.955018,-1.000000,-1.000000,0.460000
